Customer_ID,Customer_Name,Gender,Age,State,City,Bank_Branch,Account_Type,Transaction_ID,Transaction_Date,Transaction_Time,Transaction_Amount,Merchant_ID,Transaction_Type,Merchant_Category,Account_Balance,Transaction_Device,Transaction_Location,Device_Type,Transaction_Currency,Customer_Contact,Transaction_Description,Customer_Email
590581e6-479d-47d8-9416-37240e3c9190,pii_full_name_5bcfbf4bd421,Male,46,Karnataka,Mysore,Mysore Branch,Business,ffc8b4bf-da05-4be5-9628-16613b12afae,30-03-2025,09:55:22,35759.12,7fbe4139-9000-4bf7-bfaf-e453a3a5696b,Withdrawal,Groceries,25330.46,ATM,"Mysore, Karnataka",ATM,INR,+91949811XXXXXX,Online shopping,pii_email_69ee232a0041
ef7cc40b-b5a6-4a29-bb8f-90dcc4dfae0a,pii_full_name_94eafd322b30,Male,70,Karnataka,Mysore,Mysore Branch,Business,ad2e5c23-024f-4379-bbe8-433399bda492,13-12-2025,12:26:25,25520.54,10ef423f-2b59-4753-a5b3-fd675803c8fd,Transfer,Health,53208.9,ATM Booth Kiosk,"Mysore, Karnataka",Mobile,INR,+91926371XXXXXX,Bus ticket,pii_email_fafe1da49dd2
522ec5eb-9fc2-44d0-9821-cb20caee6146,pii_full_name_6a3487051c70,Female,18,Andaman and Nicobar Islands,Port Blair,Port Blair Branch,Savings,875f80a7-ceaa-4265-b393-85e38a533d60,13-12-2025,07:59:59,70979.78,2adb4efb-be07-4ae7-9b57-863506369ae1,Debit,Health,15763.83,Branch Counter,"Port Blair, Andaman and Nicobar Islands",Desktop,INR,+91948304XXXXXX,Taxi fare,pii_email_1e7fbae019ff
1c88de6f-d295-4671-9269-07bb1c9838b4,pii_full_name_ba382b434b14,Female,50,Chhattisgarh,Bilaspur,Bilaspur Branch,Checking,a3260710-ddf7-4631-8552-5de40d009dc5,23-12-2025,15:31:10,63189.51,cfceceb4-58b7-4c6e-987e-967f81d9616d,Bill Payment,Health,42556.79,Internet Banking,"Bilaspur, Chhattisgarh",Desktop,INR,+91915415XXXXXX,Movie tickets,pii_email_9a67b024dcf3
6238b2c6-2325-4e8f-81cb-3ec0c8a57c54,pii_full_name_50be13071308,Male,42,Uttar Pradesh,Kanpur,Kanpur Branch,Business,d99819c2-a990-4856-892a-41ee4f545ce4,01-09-2025,06:03:28,12761.81,6c390713-be69-4195-87ca-b72660e6931e,Transfer,Entertainment,45602.2,Phone Banking,"Kanpur, Uttar Pradesh",ATM,INR,+91955543XXXXXX,Debt repayment,pii_email_15534cdc7fca
fd61e7cb-628a-46df-9452-a85a5015aa2d,pii_full_name_2d092efadb24,Female,24,Andaman and Nicobar Islands,Diglipur,Diglipur Branch,Savings,ec21eac1-bc6e-4573-b520-993ed924e1d2,04-08-2025,15:10:31,18972.17,5eb78c98-019f-4696-be02-2455b9ae07ff,Credit,Groceries,43934.18,POS Mobile App,"Diglipur, Andaman and Nicobar Islands",Mobile,INR,+91923284XXXXXX,EMI payment,pii_email_802a89a44e14
fafafb3a-f372-48f0-8650-497f22d544e3,pii_full_name_f87939568818,Female,46,Tamil Nadu,Coimbatore,Coimbatore Branch,Savings,678077df-b0fa-4547-ae61-9fd246240977,14-03-2025,05:24:18,63641.62,79657910-3d71-4f3f-910a-900c04756df8,Withdrawal,Groceries,5029.66,QR Code Scanner,"Coimbatore, Tamil Nadu",Mobile,INR,+91949734XXXXXX,Insurance premium,pii_email_453c42d4a496
aa304c4a-7ac1-4614-aec1-ef15f2301dae,pii_full_name_ee3f95642f59,Male,49,Madhya Pradesh,Gwalior,Gwalior Branch,Business,eaeaa18c-a677-4d9b-8b46-6ddf112b5613,09-01-2025,20:08:58,14580.28,899973db-b2ad-4229-8834-6af36d62c89a,Debit,Groceries,44473.09,UPI,"Gwalior, Madhya Pradesh",Desktop,INR,+91995999XXXXXX,Jewelry purchase,pii_email_79f3fee755e7
8ee80f3e-bb6c-415f-8b60-e579be2c1cf9,pii_full_name_a0a87c24638c,Female,40,Maharashtra,Nashik,Nashik Branch,Checking,59a283c8-6124-4035-b876-7dfcaa84cf39,23-07-2025,01:42:13,68090.34,7b428d45-fedf-4d95-a6af-c4bb620c6e69,Credit,Clothing,77931.23,POS Mobile Device,"Nashik, Maharashtra",POS,INR,+91949384XXXXXX,Cash withdrawal,pii_email_db20187eab11
d756a2e0-d002-4c98-8d33-3512f93a02f2,pii_full_name_3538f338f066,Female,70,West Bengal,Kolkata,Kolkata Branch,Savings,73ed775f-7e0c-4dd2-a2fb-a82ed94b7e80,08-05-2025,01:16:00,44206.03,5607f9c6-a63b-414d-a2db-51ac521b967f,Withdrawal,Groceries,46065.84,Self-service Banking Machine,"Kolkata, West Bengal",ATM,INR,+91913756XXXXXX,Utility bill,pii_email_86e9d14988d0
